Index,Rank,Place name,County,Full Address,Latitude,Longitude,Population(2018)[16],Area[17],Government[9],Label[9],Year[9][18]
122,397,Glen Ridge,Palm Beach,Glen Ridge Palm Beach ,26.6695108,-80.0742086,243,0.2 sq mi (0.7 km2),Council–manager,Town,1947
125,393,Golf,Palm Beach,Golf Palm Beach ,26.6499135,-80.0657201,275,0.8 sq mi (2.2 km2),Council–manager,Village,1957
130,67,Greenacres,Palm Beach,Greenacres Palm Beach ,26.6276276,-80.1353896,41084,4.7 sq mi (12.1 km2),Commission–manager,City,1926
137,342,Gulf Stream,Palm Beach,Gulf Stream Palm Beach ,26.4936835,-80.0550417,880,0.8 sq mi (2.2 km2),Commission–manager,Town,1925
140,68,Hallandale Beach,Broward,Hallandale Beach Broward ,25.9812024,-80.148379,39940,4.6 sq mi (11.8 km2),Commission–manager,City,1927
144,290,Haverhill,Palm Beach,Haverhill Palm Beach ,26.6911767,-80.1200433,2123,0.6 sq mi (1.5 km2),Council–manager,Town,1950
149,229,Highland Beach,Palm Beach,Highland Beach Palm Beach ,26.3995204,-80.0655977,3915,1.1 sq mi (2.9 km2),Commission–manager,Town,1949
153,289,Hillsboro Beach,Broward,Hillsboro Beach Broward ,26.2939687,-80.0789318,2020,1.6 sq mi (4.2 km2),Mayor–commission,Town,1939
155,12,Hollywood,Broward,Hollywood Broward ,26.0112014,-80.1494901,154823,30.8 sq mi (79.8 km2),Commission–manager,City,1925
160,263,Hypoluxo,Palm Beach,Hypoluxo Palm Beach ,26.5664588,-80.0533748,2783,0.8 sq mi (2.1 km2),Mayor–council,Town,1955
177,242,Juno Beach,Palm Beach,Juno Beach Palm Beach ,26.8797819,-80.0533743,3648,1.9 sq mi (4.8 km2),Council–manager,Town,1953
178,45,Jupiter,Palm Beach,Jupiter Palm Beach ,26.9342246,-80.0942087,65524,21.1 sq mi (54.7 km2),Council–manager,Town,1925
179,378,Jupiter Inlet Colony,Palm Beach,Jupiter Inlet Colony Palm Beach ,26.9478705,-80.0744458,452,0.2 sq mi (0.6 km2),Mayor–commission,Town,1959
194,240,Lake Clarke Shores,Palm Beach,Lake Clarke Shores Palm Beach ,26.6453449,-80.0758754,3628,1.1 sq mi (2.7 km2),Mayor–council,Town,1957
198,176,Lake Park,Palm Beach,Lake Park Palm Beach ,26.8003398,-80.0664305,8605,2.3 sq mi (6.1 km2),Commission–manager,Town,1921
201,74,Lake Worth Beach,Palm Beach,Lake Worth Beach Palm Beach ,26.6167555,-80.0684479,38267,6.5 sq mi (16.7 km2),Commission–manager,City,1912
203,159,Lantana,Palm Beach,Lantana Palm Beach ,26.5867358,-80.0519859,11867,2.9 sq mi (7.5 km2),Council–manager,Town,1921
205,81,Lauderdale Lakes,Broward,Lauderdale Lakes Broward ,26.1664736,-80.2083806,36324,3.6 sq mi (9.4 km2),Commission–manager,City,1961
206,198,Lauderdale-by-the-Sea,Broward,Lauderdale-by-the-Sea Broward ,26.192028,-80.0964326,6680,1.5 sq mi (3.2 km2),Commission–manager,Town,1924
207,33,Lauderhill,Broward,Lauderhill Broward ,26.1403635,-80.2133808,72094,7.3 sq mi (19.0 km2),Commission–manager,City,1959
211,407,Lazy Lake,Broward,Lazy Lake Broward ,26.1561961,-80.1447675,26,0.1 sq mi (0.1 km2),Mayor–council,Village,1953
214,161,Lighthouse Point,Broward,Lighthouse Point Broward ,26.275636,-80.0872654,11283,2.4 sq mi (6.2 km2),Mayor–commission,City,1956
218,241,Loxahatchee Groves,Palm Beach,Loxahatchee Groves Palm Beach ,26.7064797,-80.2657478,3564,12.5 sq mi (32.4 km2),Council–manager,Town,2006
226,377,Manalapan,Palm Beach,Manalapan Palm Beach ,26.5692364,-80.0447635,466,2.4 sq mi (6.3 km2),Commission–manager,Town,1931
227,288,Mangonia Park,Palm Beach,Mangonia Park Palm Beach ,26.760341,-80.0736529,2017,0.7 sq mi (1.8 km2),Council–manager,Town,1947
230,48,Margate,Broward,Margate Broward ,26.2445263,-80.206436,58656,9.0 sq mi (23.3 km2),Commission–manager,City,1955
252,13,Miramar,Broward,Miramar Broward ,25.9860762,-80.3035602,140823,31.0 sq mi (80.3 km2),Commission–manager,City,1955
266,64,North Lauderdale,Broward,North Lauderdale Broward ,26.217305,-80.2258811,44391,3.9 sq mi (10.1 km2),Commission–manager,City,1963
269,148,North Palm Beach,Palm Beach,North Palm Beach Palm Beach ,26.8171165,-80.0590804,13129,5.8 sq mi (15.0 km2),Council–manager,Village,1956
274,63,Oakland Park,Broward,Oakland Park Broward ,26.1723065,-80.1319893,45339,6.9 sq mi (17.9 km2),Commission–manager,City,1929
277,306,Ocean Ridge,Palm Beach,Ocean Ridge Palm Beach ,26.5270157,-80.0483747,1956,2.0 sq mi (5.2 km2),Commission–manager,Town,1931
289,203,Pahokee,Palm Beach,Pahokee Palm Beach ,26.8200607,-80.665335,6270,5.4 sq mi (14.0 km2),Commission–manager,City,1922
292,160,Palm Beach,Palm Beach,Palm Beach Palm Beach ,26.7056206,-80.0364297,8802,10.4 sq mi (27.0 km2),Council–manager,Town,1911
293,54,Palm Beach Gardens,Palm Beach,Palm Beach Gardens Palm Beach ,26.8396096,-80.1019144,56284,55.3 sq mi (143.3 km2),Council–manager,City,1959
294,320,Palm Beach Shores,Palm Beach,Palm Beach Shores Palm Beach ,26.7781183,-80.0355962,1264,0.4 sq mi (1.0 km2),Commission–manager,Town,1951
297,109,Palm Springs,Palm Beach,Palm Springs Palm Beach ,26.6359009,-80.0961538,25061,1.7 sq mi (4.3 km2),Council–manager,Village,1957
303,93,Parkland,Broward,Parkland Broward ,26.3107774,-80.2532249,33631,10.8 sq mi (27.9 km2),Commission–manager,City,1963
305,196,Pembroke Park,Broward,Pembroke Park Broward ,25.9847308,-80.1752738,6730,1.8 sq mi (4.6 km2),Commission–manager,Town,1957
306,11,Pembroke Pines,Broward,Pembroke Pines Broward ,26.007765,-80.2962555,172374,34.4 sq mi (89.2 km2),Commission–manager,City,1960
314,25,Plantation,Broward,Plantation Broward ,26.1275862,-80.2331036,94288,21.9 sq mi (56.8 km2),Mayor–council,City,1953
317,19,Pompano Beach,Broward,Pompano Beach Broward ,26.2378597,-80.1247667,111954,25.8 sq mi (66.8 km2),Commission–manager,City,1908
330,82,Riviera Beach,Palm Beach,Riviera Beach Palm Beach ,26.7753405,-80.0580969,34834,9.8 sq mi (25.5 km2),Council–manager,City,1922
332,77,Royal Palm Beach,Palm Beach,Royal Palm Beach Palm Beach ,26.7083984,-80.2306019,40018,10.1 sq mi (26.1 km2),Council–manager,Village,1959
339,353,Sea Ranch Lakes,Broward,Sea Ranch Lakes Broward ,26.2002988,-80.0974888,618,0.2 sq mi (0.6 km2),Mayor–council,Village,1959
347,217,South Bay,Palm Beach,South Bay Palm Beach ,26.6639559,-80.7161701,5185,3.7 sq mi (9.6 km2),Commission–manager,City,1941
350,318,South Palm Beach,Palm Beach,South Palm Beach Palm Beach ,26.588958,-80.0386522,1471,0.3 sq mi (0.8 km2),Council–manager,Town,1955
352,179,Southwest Ranches,Broward,Southwest Ranches Broward ,26.0441352,-80.3375986,7981,13.0 sq mi (33.7 km2),Mayor–council,Town,2000
365,26,Sunrise,Broward,Sunrise Broward ,26.1669711,-80.256595,95458,18.4 sq mi (47.7 km2),Commission–manager,City,1961
369,39,Tamarac,Broward,Tamarac Broward ,26.2128609,-80.2497707,66054,11.9 sq mi (30.8 km2),Commission–manager,City,1963
374,204,Tequesta,Palm Beach,Tequesta Palm Beach ,26.9636401,-80.1121493,6133,2.2 sq mi (5.7 km2),Council–manager,Village,1957
389,43,Wellington,Palm Beach,Wellington Palm Beach ,26.6617635,-80.2683571,65200,45.0 sq mi (116.6 km2),Council–manager,Village,1995
390,410,Westlake,Palm Beach,Westlake Palm Beach ,26.7469889,-80.3077177,137,,Mayor–council,City,2017
393,20,West Palm Beach,Palm Beach,West Palm Beach Palm Beach ,26.7153424,-80.0533746,111398,58.2 sq mi (150.7 km2),Mayor–commission,City,1894
394,127,West Park,Broward,West Park Broward ,25.9846068,-80.2025583,15113,2.1 sq mi (5.4 km2),Commission–manager,City,2005
395,34,Weston,Broward,Weston Broward ,26.1003654,-80.3997748,71210,26.3 sq mi (68.1 km2),Commission–manager,City,1996
401,151,Wilton Manors,Broward,Wilton Manors Broward ,26.1603626,-80.138934,12797,1.9 sq mi (5.0 km2),Commission–manager,City,1947
